ID,first_name,last_name,email,department_ID,bonus_percentage
e811ca12-9a7b-4a71-85f2-3f6c56738952,John,Doe,johndoe@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,5
722a04fd-63f5-4ae8-8e5d-7f18d27eb007,Emily,Smith,emilysmith@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,3
c81d64a4-5ff6-4c58-8d13-fdc11a09ef0d,Michael,Johnson,michaeljohnson@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,4
d4384ff3-3283-483d-b6e5-235022319785,Sophia,Brown,sophiabrown@gmail.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,2
5f49a163-21e1-4f5d-a35b-bb6c3701dcbc,Daniel,Miller,danielmiller@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,3.5
8f86f9bb-4220-46d7-b30f-df71996ba131,Emma,Davis,emmadavis@gmail.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,4
4d3b0d15-107e-4190-8190-5c15e0e2a287,James,Wilson,jameswilson@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,2.5
87204de0-4c76-42f7-a0b4-7a125d87f2e6,Olivia,Martinez,oliviamartinez@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,3
a22cb3c3-57ae-4e2a-a97c-98748c5c2e07,William,Anderson,williamanderson@gmail.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,2
46ef4ff3-b6e5-4bfb-a445-6bc38b1d5a61,Ava,Taylor,avataylor@gmail.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,3
f9d04c5d-8319-4d4e-9a58-77cc99af307f,Liam,Jones,liamjones@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,4.5
3b624749-33ed-40ee-8448-d76dc53a72d5,Isabella,Garcia,isabellagarcia@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,2
6b027292-720d-4782-8745-32c8ff97766f,Mason,Rodriguez,masonrodriguez@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,3.8
e8cc19a8-2e6c-42d5-92b2-7bb4f1926b40,Sophia,Hernandez,sophiahernandez@gmail.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,2.3
eab45d4d-36a1-4d4f-97f8-931f05d8ac51,Logan,Martinez,loganmartinez@gmail.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,3
4e19b344-1a64-44a3-b106-4b39819f5263,Amelia,Lopez,amelialopez@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,4
af54e87d-67a7-4d17-8f45-25d92d1b072e,Lucas,Gonzalez,lucasgonzalez@gmail.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,2.7
c9a5e6d2-1e7b-4a29-89ab-85dc383b2c5b,Harper,Smith,harpersmith@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,3.2
cbd0c135-4fd3-4b6e-8d35-0408cb5a4c1c,Elijah,Perez,elijahperez@gmail.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,1.8
0ad36c21-0273-46cf-bb7e-92f0decb16c8,Evelyn,Wilson,evelynwilson@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,2.7
d7a486a1-3ef9-4b45-8a1b-41fe399a69c7,Alexander,Anderson,alexanderanderson@gmail.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,4.2
edec92d3-f41d-4f6e-95f6-b4dc09cf92a1,Avery,Taylor,averytaylor@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,2
dddf202d-cf3b-486e-af71-62c052d4c526,David,Garcia,davidgarcia@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,3.1
c50cb116-fa05-498d-8138-4f2bde038e51,Charlotte,Thomas,charlottethomas@gmail.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,2.9
5a3cb770-7077-446d-852a-545d9db437a3,Michael,Moore,michaelmoore@gmail.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,3.3
969c6a69-f5c7-41d6-a650-d245fe6a0510,Mia,Jackson,miajackson@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,4.3
af6b6540-429b-4f78-9b1e-9f444b5e612e,Ava,Harris,avaharris@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,2.8
86b9e38d-4f62-4639-bb44-3a72d470fb0f,James,White,jameswhite@gmail.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,3.6
560a3497-2a68-486b-8325-9c7bb9da2755,Oliver,Evans,oliverevans@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,3.9
6ba0d34e-fa88-4b6d-8f41-43da48a53d5e,Ethan,Hernandez,ethanhernandez@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,3.7
f5149172-07cd-468b-8222-16dbd9c24291,Abigail,King,abigailking@gmail.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,4.1
c3e6f5d3-81b8-4e92-aeb8-64e979be3f6d,Alexander,Moore,alexandermoore@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,2.6
